time,Rank,Product Names,Product ID,Image ID,Stars,Reviews,Authors/Company,Edition/Console,Price_std_or_min,Max_prices
2021-01-28 23:37,36,Taylor Swift [Importado],B0014I4KH6,"71LVEINqZaL._AC_UL200_SR200,200_",4.7,1673,Taylor Swift,Audio CD,179.26,
2021-01-28 23:37,37,Led Zeppelin IV (Remastered Original Vinyl),B00M30T9F2,"91-CMzLgOPL._AC_UL200_SR200,200_",4.7,3659,Led Zeppelin,Vinil,551.51,
2021-01-28 23:37,38,21,B004EBT5CU,"71Ln3JLWyOL._AC_UL200_SR200,200_",4.7,12041,Adele,Audio CD,146,
2021-01-28 23:37,39,Little Dark Age (+ Audio CD),B078Y34P2N,"81ERARiTDaL._AC_UL200_SR200,200_",4.7,381,MGMT,Audio CD,99,
2021-01-28 23:37,40,Abbey Road Anniversary (1LP),B07VNS48HD,"81dUVKQDBEL._AC_UL200_SR200,200_",4.8,4348,The Beatles,Vinil,565,
2021-01-28 23:37,41,Dangerous,B00VSHH95I,"81suIsEX-ML._AC_UL200_SR200,200_",4.8,1775,Michael Jackson,Audio CD,99,
2021-01-28 23:37,42,Unplugged in Ny (Vinyl) [Importado],B000000OU2,"81vS%2BwfdozL._AC_UL200_SR200,200_",4.8,3120,Nirvana,Vinil,592.29,
2021-01-28 23:37,43,The New Abnormal (Vinyl),B084G2YBG6,"81vlYaeo%2ByL._AC_UL200_SR200,200_",4.8,1850,The Strokes,Vinil,842,
2021-01-28 23:37,44,Fearless Platinum Edition (Vinyl),B01CUF9DVY,"91xyvBQvVDL._AC_UL200_SR200,200_",4.8,452,Taylor Swift,Vinil,568.3,
2021-01-28 23:37,45,Radiohead - In Rainbows (Vinyl),B000YIXBV8,"A1MwaIeBpwL._AC_UL200_SR200,200_",4.7,1947,Radiohead,Vinil,523.64,
2021-01-28 23:37,46,Careful (Vinyl),B07JJ5WHTK,"719p-knTOwL._AC_UL200_SR200,200_",4.8,114,Boy Harsher,Vinil,511.97,
2021-01-28 23:37,47,POST HUMAN: SURVIVAL HORROR (Vinyl),B08L1SPQ5Y,"81%2B0CgQxC6L._AC_UL200_SR200,200_",4.7,60,BRING ME THE HORIZON,Vinil,616,
2021-01-28 23:37,48,Cowboys From Hell,B000002JNJ,"91gDINDQ7sL._AC_UL200_SR200,200_",4.7,618,Pantera,Audio CD,99,
2021-01-28 23:37,49,Use Your Illusion 2 (Vinyl) [Importado],B000057DOV,"51CDFqfhHYL._AC_UL200_SR200,200_",4.7,1760,GUNS N'ROSES,Vinil,542.49,
2021-01-28 23:37,50,Made (The Album),B01MRWLL1Y,"515rC0XCZOL._AC_UL200_SR200,200_",4.8,28,Bigbang,Audio CD,1104.24,
